,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
0,PELHAM BAY PARK,BRONX        ,2771.747,ONE ACRE OR LARGER,0.0,1.0,3.0,2.0,0.0,2.0,0.0,8.0
1,VAN CORTLANDT PARK,BRONX        ,1146.43,ONE ACRE OR LARGER,0.0,1.0,4.0,5.0,1.0,5.0,0.0,16.0
2,ROCKAWAY BEACH AND BOARDWALK,QUEENS       ,1072.564,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,16.0,0.0,18.0
3,FRESHKILLS PARK,STATEN ISLAND,913.32,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,FLUSHING MEADOWS CORONA PARK,QUEENS       ,897.69,ONE ACRE OR LARGER,0.0,0.0,10.0,8.0,2.0,57.0,3.0,80.0
5,LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.97,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,MARINE PARK,BROOKLYN     ,798.0,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
7,BELT PARKWAY/SHORE PARKWAY,BROOKLYN/QUEENS,760.43,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,BRONX PARK,BRONX        ,718.373,ONE ACRE OR LARGER,0.0,0.0,8.0,5.0,0.0,6.0,0.0,19.0
9,FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,644.35,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
10,ALLEY POND PARK,QUEENS       ,635.514,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0
11,PROSPECT PARK,BROOKLYN     ,526.25,ONE ACRE OR LARGER,0.0,3.0,11.0,4.0,1.0,18.0,0.0,37.0
12,FOREST PARK,QUEENS       ,506.86,ONE ACRE OR LARGER,0.0,0.0,4.0,1.0,1.0,3.0,0.0,9.0
13,GRAND CENTRAL PARKWAY,QUEENS       ,460.16,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,FERRY POINT PARK,BRONX        ,413.8,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
15,CONEY ISLAND BEACH & BOARDWALK,BROOKLYN     ,399.203,ONE ACRE OR LARGER,0.0,1.0,13.0,7.0,1.0,38.0,0.0,60.0
16,CUNNINGHAM PARK,QUEENS       ,358.0,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
17,RICHMOND PARKWAY,STATEN ISLAND,350.983,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,CROSS ISLAND PARKWAY,QUEENS       ,326.895,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,GREAT KILLS PARK,STATEN ISLAND,315.094,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,WOLFE'S POND PARK,STATEN ISLAND,302.693,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,CONFERENCE HOUSE PARK,STATEN ISLAND,286.382,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,RANDALL'S ISLAND PARK,MANHATTAN    ,256.111,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,14.0,0.0,15.0
23,ROCKAWAY COMMUNITY PARK,QUEENS       ,255.4,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,KISSENA PARK,QUEENS       ,237.147,ONE ACRE OR LARGER,0.0,0.0,0.0,2.0,0.0,3.0,0.0,5.0
25,RIVERSIDE PARK,MANHATTAN    ,235.765,ONE ACRE OR LARGER,0.0,1.0,11.0,2.0,1.0,19.0,0.0,34.0
26,HUTCHINSON RIVER PARKWAY,BRONX        ,229.14,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,BLUE HERON PARK,STATEN ISLAND,217.45,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,DYKER BEACH PARK,BROOKLYN     ,216.655,ONE ACRE OR LARGER,0.0,1.0,1.0,0.0,0.0,3.0,0.0,5.0
29,WILLOWBROOK PARK,STATEN ISLAND,214.947,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,STATEN ISLAND INDUSTRIAL PARK,STATEN ISLAND,210.928,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,SILVER LAKE PARK,STATEN ISLAND,205.977,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,BRONX RIVER PARKWAY,BRONX        ,205.647,ONE ACRE OR LARGER,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
33,SOUNDVIEW PARK,BRONX        ,205.31,ONE ACRE OR LARGER,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0
34,BELT PARKWAY,QUEENS       ,202.647,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,WILLOWBROOK PARKWAY,STATEN ISLAND,198.481,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,INWOOD HILL PARK,MANHATTAN    ,196.398,ONE ACRE OR LARGER,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0
37,CLOVE LAKES PARK,STATEN ISLAND,193.423,ONE ACRE OR LARGER,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
38,FORT WASHINGTON PARK,MANHATTAN    ,184.143,ONE ACRE OR LARGER,0.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0
39,IDLEWILD PARK,QUEENS       ,180.85,ONE ACRE OR LARGER,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,WARDS ISLAND PARK,MANHATTAN    ,176.581,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,SOUTH SHORE COUNTRY CLUB,STATEN ISLAND,173.994,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,SAW MILL CREEK MARSH,STATEN ISLAND,171.778,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,BLOOD ROOT VALLEY,STATEN ISLAND,161.242,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,JAMAICA BAY PARK,QUEENS       ,149.54,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,KISSENA CORRIDOR PARK,QUEENS       ,146.81,ONE ACRE OR LARGER,0.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0
46,HIGHLAND PARK,BROOKLYN/QUEENS,146.339,ONE ACRE OR LARGER,0.0,0.0,6.0,3.0,0.0,0.0,0.0,9.0
47,ARDEN WOODS,STATEN ISLAND,145.864,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,RIVERDALE PARK,BRONX        ,144.29,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,OCEAN PARKWAY MALLS,BROOKLYN     ,140.0,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,BLOOMINGDALE PARK,STATEN ISLAND,138.1,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,OCEAN BREEZE PARK,STATEN ISLAND,136.568,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
52,CANARSIE PARK,BROOKLYN     ,132.2,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
53,HIGHBRIDGE PARK MANHATTAN SIDE,MANHATTAN    ,130.1,ONE ACRE OR LARGER,1.0,0.0,6.0,4.0,1.0,7.0,0.0,19.0
